Course Title,Provider / University,Category,Difficulty Level,Cost,Duration,Teaching Language
Listen and Learn on the Go With Our Captivating Free Audiobook,esound.space/full,"Drama, Podcasts, Fiction",N/A,Free,Self-paced,English
Cyber Prophets,Cyber Prophets,"Technology, Podcasts, News, Tech News",N/A,Free,Self-paced,English
TensorFlow-Course,instillai,Jupyter Notebook,N/A,Free,Self-paced,English
python-mastery,dabeaz-course,Python,N/A,Free,Self-paced,English
practical-python,dabeaz-course,Python,N/A,Free,Self-paced,English
stanford-tensorflow-tutorials,chiphuyen,Python,N/A,Free,Self-paced,English
ai-engineering-from-scratch,rohitg00,Python,N/A,Free,Self-paced,English
Mastering-GitHub-Copilot-for-Paired-Programming,microsoft,Python,N/A,Free,Self-paced,English
PPOxFamily,opendilab,Python,N/A,Free,Self-paced,English
python-for-absolute-beginners-course,talkpython,Python,N/A,Free,Self-paced,English
100daysofcode-with-python-course,talkpython,Jupyter Notebook,N/A,Free,Self-paced,English
OpenCV-Python-Tutorials-and-Projects,murtazahassan,Python,N/A,Free,Self-paced,English
reinforcement_learning_course_materials,upb-lea,Jupyter Notebook,N/A,Free,Self-paced,English
personalized-recommender-course,decodingai-magazine,Jupyter Notebook,N/A,Free,Self-paced,English
Econometrics-With-Python,weijie-chen,Jupyter Notebook,N/A,Free,Self-paced,English
FirstCourseNetworkScience,CambridgeUniversityPress,Jupyter Notebook,N/A,Free,Self-paced,English
python-course,fbkarsdorp,Jupyter Notebook,N/A,Free,Self-paced,English
pycadl,pkmital,Python,N/A,Free,Self-paced,English
30-Days-of-Python-3.6,codingforentrepreneurs,Python,N/A,Free,Self-paced,English
PythonTutorial,TCXX,Jupyter Notebook,N/A,Free,Self-paced,English
kaggle-courses,drakearch,Jupyter Notebook,N/A,Free,Self-paced,English
Introduction-to-Data-Science-in-python,sidsriv,Jupyter Notebook,N/A,Free,Self-paced,English
DSA & System Design Course: The Complete SDE Interview Program,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
DevOps Course with IBM Certification,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
Java Backend Development - Live Course,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
Complete Data Analytics with AI,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
MERN Full Stack Development Course (with IBM Certification),GeeksforGeeks,Programming,N/A,$239.98,98 days,English
System Design Training Program,GeeksforGeeks,Programming,N/A,$299.98,84 days,English
Generative AI Training Program - Live,GeeksforGeeks,Programming,N/A,$299.98,119 days,English
Fast-Track Hiring Opportunity Program - Exclusive for 2026 Graduates,GeeksforGeeks,Programming,N/A,$139.98,T22H,English
Complete Machine Learning & Data Science Course,GeeksforGeeks,Programming,N/A,$79.98,84 days,English
Data Structures and Algorithms | DSA Course - Self Paced,GeeksforGeeks,Programming,N/A,$49.98,56 days,English
System Design Course: Low-Level to High-Level - Self Paced,GeeksforGeeks,Programming,N/A,$79.98,56 days,English
Automation Testing - Self Paced,GeeksforGeeks,Programming,N/A,$19.98,56 days,English
C++ Programming Course- Self Paced,GeeksforGeeks,Programming,N/A,$15.98,56 days,English
Java Programming Course - Self Paced,GeeksforGeeks,Programming,N/A,$15.98,56 days,English
Python Programming Course- Self Paced,GeeksforGeeks,Programming,N/A,$15.98,56 days,English
JavaScript Programming Course- Self Paced,GeeksforGeeks,Programming,N/A,$15.98,56 days,English
